address,weekly price,number of bedrooms,number of bathrooms,number of parking,Property_Features,number_of_schools,distance to the closest schools(meters)
Ngunnawal,530.0,2,1,1,nan,11,608
Evatt,610.0,3,1,1,Built in wardrobes,12,440
Harrison,540.0,2,2,2,Pets Allowed,11,358
Forrest,620.0,2,2,2,Secure Parking,14,301
Griffith,750.0,2,2,2,nan,15,753
Campbell,500.0,1,1,1,Close to transport,13,670
Braddon,800.0,3,2,2,Secure Parking,13,259
Kingston,620.0,2,2,1,nan,15,802
Phillip,465.0,1,1,1,Air conditioning,16,494
Kingston,nan,2,2,2,Intercom,15,608
Garran,675.0,2,2,1,nan,13,228
Braddon,700.0,2,1,1,Built in wardrobes,13,518
Lawson,550.0,2,1,1,nan,12,978
Phillip,465.0,1,1,1,Air conditioning,14,424
Phillip,535.0,2,2,1,Air conditioning,14,453
Giralang,580.0,3,1,2,Air conditioning,9,569
Braddon,nan,3,1,1,Pets Allowed,13,310
Gungahlin,510.0,2,1,2,Dishwasher,11,580
Cook,700.0,3,2,1,Floorboards,10,449
Flynn,420.0,1,1,1,Built in wardrobes,9,538
Braddon,675.0,2,2,1,Secure Parking,13,667
Macquarie,570.0,2,1,1,Secure Parking,10,523
Ngunnawal,411.0,3,1,1,Secure Parking,9,672
Belconnen,450.0,1,1,1,Air conditioning,10,187
Reid,595.0,2,2,1,Swimming Pool,13,827
Mawson,200.0,2,1,1,Air conditioning,13,626
Bonner,875.0,5,2,2,Fully fenced,7,1245
Lawson,720.0,3,2,2,Secure Parking,12,965
Palmerston,585.0,2,1,1,Built in wardrobes,11,591
Turner,490.0,1,1,1,nan,13,302
Taylor,650.0,3,1,1,Remote Garage,10,829
Fyshwick,500.0,2,1,1,Pets Allowed,15,189
Griffith,620.0,2,2,2,nan,14,285
Braddon,530.0,1,1,1,Floorboards,13,765
nan,nan,3,1,0,Pets Allowed,13,353
Turner,740.0,2,2,2,Secure Parking,13,682
Ngunnawal,520.0,2,2,1,Secure Parking,10,909
Garran,650.0,3,1,2,Secure Parking,13,721
Charnwood,550.0,3,1,1,Built in wardrobes,9,113
Monash,590.0,3,1,1,Air conditioning,12,845
Macquarie,nan,1,1,1,Dishwasher,12,227
Ngunnawal,670.0,3,2,2,Garden / Courtyard,11,427
Ngunnawal,500.0,2,1,1,Air conditioning,11,1075
