address,price,bedrooms,bathrooms,parking,Property_Features,number_of_schools,closest_school
Forde,780,4,2,2,Energy Eff. Rating: 5,9,874 
Watson,490,2,1,1,Energy Eff. Rating: 7,11,1826 
Kingston,750,2,2,2,nan,15,677 
Kingston,nan,1,1,1,Heating,15,804 
Casey,nan,3,2,1,Air conditioning,10,1109 
Braddon,500,1,1,1,Air conditioning,13,676 
Greenway,540,1,1,1,Air conditioning,12,175 
Dickson,650,2,2,1,nan,14,629 
Phillip,550,2,1,1,Alarm System,14,547 
Hackett,990,4,3,2,Dishwasher,11,926 
Kingston,650,3,2,1,Air conditioning,15,572 
Curtin,800,5,3,1,nan,13,813 
Phillip,530,2,2,1,Air conditioning,14,399 
Phillip,450,1,1,1,Energy Eff. Rating: 6,14,547 
Phillip,630,2,2,2,Air conditioning,14,547 
Phillip,670,2,2,2,Air conditioning,14,547 
Fraser,390,1,1,0,Close to transport,8,546 
Mawson,700,4,1,2,nan,13,729 
Campbell,520,1,1,1,nan,13,171 
Dickson,600,2,2,1,Gym,14,235 
Harrison,nan,3,2,1,Built in wardrobes,8,239 
Harrison,650,3,2,2,Pets Allowed,11,358 
Amaroo,510,2,1,2,Pets Allowed,11,381 
Wright,540,2,2,1,Pets Allowed,9,757 
City,735,2,1,1,Pets Allowed,13,1645 
Hughes,600,4,1,3,Courtyard,13,382 
Flynn,nan,3,2,2,Built in wardrobes,10,908 
Florey,680,2,2,2,nan,12,438 
Bruce,835,3,2,2,Air conditioning,12,412 
Phillip,500,1,1,1,Secure Parking,14,813 
Torrens,1000,5,2,1,nan,13,281 
Braddon,600,1,1,1,Air conditioning,13,436 
Phillip,450,1,1,1,Double glazed windows,14,399 
Campbell,510,2,1,1,nan,13,298 
Coombs,560,2,2,2,Intercom,9,647 
Kingston,570,2,1,2,Energy Eff. Rating: 2,15,738 
Harrison,580,2,2,2,Built in wardrobes,11,435 
Greenway,560,2,2,1,nan,12,570 
Ngunnawal,600,3,1,2,Secure Parking,9,385 
Barton,600,1,1,1,Air conditioning,14,737 
Phillip,620,2,1,2,Open Fire Place,13,448 
Ngunnawal,600,3,1,2,Secure Parking,9,385 
Narrabundah,610,1,1,1,Fully fenced,15,421 
Farrer,520,2,1,1,nan,13,601 
Belconnen,590,2,1,2,Partially furnished,10,228 
Turner,500,1,1,1,Pets Allowed,13,266 
Braddon,480,1,1,0,Pets Allowed,13,644 
City,800,2,2,2,Balcony,13,1107 
Belconnen,490,1,1,1,Balcony,10,273 
Melba,550,2,1,1,nan,11,368 
Phillip,760,3,2,2,Energy Eff. Rating: 6,14,389 
Phillip,500,1,1,1,nan,14,720 
Coombs,465,1,1,1,nan,9,439 
Phillip,630,2,2,1,Gym,14,405 
Campbell,550,1,1,1,Secure Parking,13,309 
Lawson,650,3,3,3,Air conditioning,12,1014 
Kingston,500,1,1,1,nan,15,556 
Waramanga,675,3,2,2,Air conditioning,13,436 
Taylor,500,1,1,0,nan,9,564 
Belconnen,570,2,2,1,Pets Allowed,10,273 
Wright,420,1,1,1,Pets Allowed,9,757 
Belconnen,540,1,1,1,Air conditioning,10,531 
Kingston,535,1,1,1,nan,15,412 
Cook,630,3,2,1,Air conditioning,10,615 
Bruce,440,1,1,1,Dishwasher,12,943 
Belconnen,500,1,1,1,Pets Allowed,10,252 
Bruce,480,1,1,1,Air conditioning,12,879 
Denman Prospect,620,2,2,2,Open plan living,7,778 
Wanniassa,470,2,1,1,Balcony,11,397 
Griffith,480,1,1,1,nan,15,595 
Phillip,470,1,1,1,Energy Eff. Rating: 6,14,728 
Griffith,nan,2,1,1,Built in wardrobes,15,333 
Downer,630,2,2,1,Air conditioning,15,881 
Nicholls,800,5,2,2,Energy Eff. Rating: 3,12,423 
Campbell,nan,3,2,2,Built in wardrobes,13,411 
Turner,550,1,1,1,Furnished,13,1172 
Lyneham,520,1,1,1,Energy Eff. Rating: 5.5,13,435 
Phillip,420,1,1,1,Air conditioning,14,547 
Braddon,780,2,2,2,nan,13,601 
Isaacs,895,5,3,2,Close to transport,13,1056 
Harrison,450,1,1,1,nan,9,113 
Hughes,760,3,1,3,nan,13,300 
Coombs,650,3,2,2,nan,9,348 
Denman Prospect,510,1,1,1,Air conditioning,7,834 
Deakin,1300,4,2,2,Air conditioning,15,573 
Phillip,nan,1,1,1,Built in wardrobes,14,453 
Braddon,nan,2,2,2,Built in wardrobes,13,601 
Turner,540,1,1,1,Secure Parking,13,456 
Braddon,650,2,2,1,nan,13,788 
Narrabundah,700,3,1,1,nan,14,625 
Franklin,765,4,2,2,Air conditioning,11,488 
Turner,410,1,1,1,Close to transport,13,1112 
Kambah,550,3,1,1,nan,14,485 
Page,585,3,1,1,Air conditioning,13,1154 
Kingston,850,2,3,2,Air conditioning,15,805 
Wanniassa,520,2,1,1,nan,11,397 
Lyneham,625,1,1,1,Air conditioning,13,508 
Weston,500,2,2,2,Secure Parking,14,398 
Taylor,600,2,2,2,Energy Eff. Rating: 7,10,156 
Denman Prospect,930,4,2,2,Air conditioning,7,742 
Lyneham,500,1,1,0,Air conditioning,13,508 
Amaroo,800,4,2,2,Secure Parking,11,874 
Phillip,750,3,2,2,Balcony,14,892 
Giralang,830,5,3,2,nan,11,358 
Strathnairn,785,4,2,2,Built in wardrobes,8,1932 
Barton,650,1,1,1,Furnished,14,807 
Phillip,500,1,1,1,Air conditioning,14,399 
Braddon,630,2,2,1,nan,13,882 
Dunlop,580,3,1,1,Built in wardrobes,9,1629 
Phillip,nan,1,1,1,Built in wardrobes,14,564 
Braddon,595,1,1,1,Air conditioning,13,518 
Turner,630,2,2,2,Built in wardrobes,13,1172 
Phillip,nan,1,1,1,Furnished,14,384 
Macquarie,650,3,1,1,Floorboards,9,295 
Pearce,560,2,2,1,nan,13,181 
Belconnen,550,2,2,1,Pets Allowed,10,232 
Phillip,580,2,1,1,Air conditioning,16,508 
Phillip,nan,3,2,2,nan,14,547 
Phillip,nan,3,2,2,nan,14,547 
Braddon,550,1,1,1,Air conditioning,13,814 
Dickson,600,1,2,1,Air conditioning,14,508 
Denman Prospect,660,2,2,2,nan,7,711 
Wright,nan,4,2,2,Built in wardrobes,9,578 
O'Connor,490,1,1,1,Built in wardrobes,13,193 
Dickson,667,2,2,2,nan,14,557 
Braddon,460,1,1,0,Pets Allowed,13,644 
City,570,1,1,1,Balcony,13,1989 
Red Hill,480,1,1,1,Air conditioning,14,189 
Belconnen,540,2,2,1,Air conditioning,10,244 
Gilmore,750,4,2,2,Secure Parking,9,437 
Kingston,580,1,1,1,nan,15,1058 
Page,390,1,1,1,Built in wardrobes,13,593 
Phillip,750,3,2,2,nan,14,458 
Belconnen,440,1,1,1,nan,10,635 
Franklin,570,2,2,2,Energy Eff. Rating: 6,10,983 
Franklin,600,2,2,2,Air conditioning,9,308 
Franklin,560,2,2,2,Secure Parking,9,368 
Franklin,550,2,2,2,nan,9,337 
Forrest,nan,3,2,2,nan,14,471 
Evatt,700,4,2,1,Energy Eff. Rating: 2,12,749 
Phillip,510,1,1,1,Air conditioning,14,547 
Barton,730,2,1,1,Spacious living and dining areas,14,290 
Turner,750,2,2,2,nan,13,385 
Yarralumla,nan,4,2,2,nan,14,183 
Garran,nan,4,3,2,Energy Eff. Rating: 6.5,13,419 
Barton,520,1,1,1,Air conditioning,14,737 
Forde,680,3,1,2,Fully fenced,10,220 
Belconnen,600,2,2,2,Intercom,10,204 
Ngunnawal,570,3,1,1,Built in wardrobes,10,310 
Belconnen,570,2,2,1,Pets Allowed,10,223 
Mawson,720,3,2,2,nan,13,484 
Phillip,600,2,2,2,Balcony,14,547 
Kambah,nan,3,1,2,Floorboards,14,663 
Charnwood,nan,3,2,2,Heating,9,476 
Amaroo,420,1,1,1,Pets Allowed,11,381 
Dickson,780,2,2,1,Air conditioning,14,508 
Lyons,730,4,1,2,Energy Eff. Rating: 1.5,14,926 
Braddon,570,1,1,1,Air conditioning,13,728 
Phillip,460,1,1,1,Air conditioning,14,399 
Dickson,720,4,2,2,Secure Parking,14,257 
Theodore,735,4,2,2,Air conditioning,8,618 
Belconnen,480,2,1,1,Floorboards,10,689 
Dickson,675,1,1,1,Air conditioning,14,508 
Belconnen,440,1,1,0,Built in wardrobes,10,223 
Dickson,650,2,2,1,Ensuite,14,623 
Nicholls,810,4,2,2,Air conditioning,11,1576 
Gungahlin,660,5,2,2,Secure Parking,10,928 
Evatt,630,3,1,2,Energy Eff. Rating: 2,12,311 
Phillip,570,2,2,1,Air conditioning,14,453 
Reid,510,1,1,1,Air conditioning,13,731 
Curtin,635,2,2,2,nan,13,263 
Braddon,680,1,1,1,Air conditioning,13,582 
Belconnen,550,2,2,2,Built in wardrobes,10,612 
Greenway,480,1,1,1,Furnished,12,175 
Hackett,710,4,1,2,Close to transport,13,177 
Hackett,820,4,2,1,nan,13,196 
Denman Prospect,950,4,2,2,Secure Parking,7,699 
Franklin,440,1,1,1,Air conditioning,10,928 
Chisholm,650,3,1,1,Deck,11,610 
Giralang,nan,4,2,1,Built in wardrobes,11,621 
Page,nan,4,2,2,Energy Eff. Rating: 6.7,13,913 
Lyons,350,1,1,1,nan,14,551 
Pearce,nan,2,1,1,nan,13,512 
Phillip,570,2,2,1,Air conditioning,14,453 
Belconnen,nan,2,2,2,nan,12,885 
Turner,nan,2,2,2,Dishwasher,13,528 
Spence,575,3,1,1,Secure Parking,12,1027 
Florey,620,3,1,4,nan,12,313 
Taylor,420,1,1,0,nan,7,1256 
Lyneham,550,1,1,1,Air conditioning,13,435 
Reid,650,2,2,1,Pets Allowed,13,777 
Franklin,580,2,2,2,nan,9,337 
Ngunnawal,530,2,1,1,nan,11,608 
Evatt,610,3,1,1,Built in wardrobes,12,440 
Harrison,540,2,2,2,Pets Allowed,11,358 
Forrest,620,2,2,2,Secure Parking,14,301 
Griffith,750,2,2,2,nan,15,753 
Campbell,500,1,1,1,Close to transport,13,670 
Braddon,800,3,2,2,Secure Parking,13,259 
Kingston,620,2,2,1,nan,15,802 
Phillip,465,1,1,1,Air conditioning,16,494 
Kingston,nan,2,2,2,Intercom,15,608 
Garran,675,2,2,1,nan,13,228 
Braddon,700,2,1,1,Built in wardrobes,13,518 
Lawson,550,2,1,1,nan,12,978 
Phillip,465,1,1,1,Air conditioning,14,424 
Phillip,535,2,2,1,Air conditioning,14,453 
Giralang,580,3,1,2,Air conditioning,9,569 
Braddon,nan,3,1,1,Pets Allowed,13,310 
Gungahlin,510,2,1,2,Dishwasher,11,580 
Cook,700,3,2,1,Floorboards,10,449 
Flynn,420,1,1,1,Built in wardrobes,9,538 
Braddon,675,2,2,1,Secure Parking,13,667 
Macquarie,570,2,1,1,Secure Parking,10,523 
Ngunnawal,411,3,1,1,Secure Parking,9,672 
Belconnen,450,1,1,1,Air conditioning,10,187 
Reid,595,2,2,1,Swimming Pool,13,827 
Mawson,400,2,1,1,Air conditioning,13,626 
Bonner,875,5,2,2,Fully fenced,7,1245 
Lawson,720,3,2,2,Secure Parking,12,965 
Palmerston,585,2,1,1,Built in wardrobes,11,591 
Turner,490,1,1,1,nan,13,302 
Taylor,650,3,1,1,Remote Garage,10,829 
Fyshwick,500,2,1,1,Pets Allowed,15,189 
Griffith,620,2,2,2,nan,14,285 
Braddon,530,1,1,1,Floorboards,13,765 
O'Connor,nan,3,1,0,Pets Allowed,13,353 
Turner,740,2,2,2,Secure Parking,13,682 
Ngunnawal,520,2,2,1,Secure Parking,10,909 
Garran,650,3,1,2,Secure Parking,13,721 
Charnwood,550,3,1,1,Built in wardrobes,9,113 
Monash,590,3,1,1,Air conditioning,12,845 
Macquarie,nan,1,1,1,Dishwasher,12,227 
Ngunnawal,670,3,2,2,Garden / Courtyard,11,427 
Ngunnawal,500,2,1,1,Air conditioning,11,1075 
Mawson,960,4,2,4,Pets Allowed,13,401 
Belconnen,480,1,1,1,Pets Allowed,10,366 
Griffith,nan,3,2,2,Ensuite,15,758 
